,Timestamp,System ON,System ON Timestamps,System OFF Timestamps,Temperature (°C),Solar Panels Energy Output (W),Power Consumption (kW),Energy Stored in Batteries (kWh),Inverter Efficiency (%),System Load (kW),System Fault Alerts,Voltage (V),Current (A),Power Factor,Dust and Dirt Accumulation (g/m²),Battery Low Flag,Battery Full Flag,Customer Profile,User Coordinates,Solar Panels Type,Solar Panels Configuration,Depth of Discharge,Battery Capacity (Wh),Inverter Capacity (kW),Battery Technology,Solar Irradiance (W/m²)
3537,27/09/2024 04:45,False,,27/09/2024 04:45,33.56196289,0.0,0.0,0.281778745,90.0,,False,220.0,0.0,0.9,0.692,True,False,Residential,"10.525053,7.417939",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3538,27/09/2024 05:00,False,,27/09/2024 05:00,29.97160372,0.0,0.0,0.281778745,90.0,,False,220.0,0.0,0.9,0.693,True,False,Residential,"10.525053,7.417940",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3539,27/09/2024 05:15,False,,27/09/2024 05:15,32.65564742,0.0,0.0,0.281778745,90.0,,False,220.0,0.0,0.9,0.694,True,False,Residential,"10.525053,7.417941",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3540,27/09/2024 05:30,False,,27/09/2024 05:30,33.84943424,0.0,0.0,0.281778745,90.0,,False,220.0,0.0,0.9,0.695,True,False,Residential,"10.525053,7.417942",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3541,27/09/2024 05:45,False,,27/09/2024 05:45,33.91766745,0.0,0.0,0.281778745,90.0,,False,220.0,0.0,0.9,0.696,True,False,Residential,"10.525053,7.417943",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3542,27/09/2024 06:00,False,,27/09/2024 06:00,32.6596854,0.0,0.0,0.281778745,90.0,,False,220.0,0.0,0.9,0.697,True,False,Residential,"10.525053,7.417944",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3543,27/09/2024 06:15,False,,27/09/2024 06:15,34.4375027,41.68338913,0.0,0.292199593,90.0,,False,220.0,0.0,0.9,0.698,True,False,Residential,"10.525053,7.417945",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,138.9446304
3544,27/09/2024 06:30,False,,27/09/2024 06:30,31.86719871,42.19066056,0.0,0.302747258,90.0,,False,220.0,0.0,0.9,0.699,False,False,Residential,"10.525053,7.417946",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,140.6355352
3545,27/09/2024 06:45,True,27/09/2024 06:45,,31.61009893,49.72245885,0.552110053,0.2,90.0,,False,220.0,2.509591148,0.9,0.7,True,False,Residential,"10.525053,7.417947",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,165.7415295
3546,27/09/2024 07:00,False,,27/09/2024 07:00,34.46209212,54.82903778,0.0,0.213707259,90.0,,False,220.0,0.0,0.9,0.701,True,False,Residential,"10.525053,7.417948",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,182.7634593
3547,27/09/2024 07:15,False,,27/09/2024 07:15,32.53494768,68.05490717,0.0,0.230720986,90.0,,False,220.0,0.0,0.9,0.702,True,False,Residential,"10.525053,7.417949",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,226.8496906
3548,27/09/2024 07:30,False,,27/09/2024 07:30,33.65100043,101.5516689,0.0,0.256108903,90.0,,False,220.0,0.0,0.9,0.703,True,False,Residential,"10.525053,7.417950",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,338.5055629
3549,27/09/2024 07:45,False,,27/09/2024 07:45,32.3187057,142.0363411,0.0,0.291617989,90.0,,False,220.0,0.0,0.9,0.704,True,False,Residential,"10.525053,7.417951",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,473.4544705
3550,27/09/2024 08:00,False,,27/09/2024 08:00,31.83346917,129.586826,0.0,0.324014695,90.0,,False,220.0,0.0,0.9,0.705,False,False,Residential,"10.525053,7.417952",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,431.9560867
3551,27/09/2024 08:15,True,27/09/2024 08:15,,32.59681578,160.1924145,0.309847879,0.286600829,90.0,,False,220.0,1.408399448,0.9,0.706,True,False,Residential,"10.525053,7.417953",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,533.9747151
3552,27/09/2024 08:30,False,,27/09/2024 08:30,33.37109115,160.4656764,0.0,0.326717248,90.0,,False,220.0,0.0,0.9,0.707,False,False,Residential,"10.525053,7.417954",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,534.8855879
3553,27/09/2024 08:45,True,27/09/2024 08:45,,34.94514209,188.1699832,0.457202215,0.25945919,90.0,,False,220.0,2.078191886,0.9,0.708,True,False,Residential,"10.525053,7.417955",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,627.2332773
3554,27/09/2024 09:00,False,,27/09/2024 09:00,34.91667737,204.5447509,0.0,0.310595378,90.0,,False,220.0,0.0,0.9,0.709,False,False,Residential,"10.525053,7.417956",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,681.8158363
3555,27/09/2024 09:15,True,27/09/2024 09:15,,32.29257214,206.4658799,0.240042821,0.302201143,90.0,,False,220.0,1.09110373,0.9,0.71,False,False,Residential,"10.525053,7.417957",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,688.2195998
3556,27/09/2024 09:30,True,27/09/2024 09:30,,34.02012623,209.9066818,0.283612801,0.283774613,90.0,,False,220.0,1.289149095,0.9,0.711,True,False,Residential,"10.525053,7.417958",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,699.6889392
3557,27/09/2024 09:45,False,,27/09/2024 09:45,33.04444883,248.3320476,0.0,0.345857625,90.0,,False,220.0,0.0,0.9,0.712,False,False,Residential,"10.525053,7.417959",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,827.773492
3558,27/09/2024 10:00,True,27/09/2024 10:00,,29.51079214,245.3414395,0.374942682,0.313457314,90.0,,False,220.0,1.70428492,0.9,0.713,False,False,Residential,"10.525053,7.417960",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,817.8047982
3559,27/09/2024 10:15,True,27/09/2024 10:15,,29.61903316,252.7902258,0.277171628,0.307361964,90.0,,False,220.0,1.259871035,0.9,0.714,False,False,Residential,"10.525053,7.417961",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,842.634086
3560,27/09/2024 10:30,True,27/09/2024 10:30,,32.07162438,260.2557001,0.232129233,0.314393581,90.0,,False,220.0,1.055132875,0.9,0.715,False,False,Residential,"10.525053,7.417962",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,867.5190005
3561,27/09/2024 10:45,True,27/09/2024 10:45,,34.79548738,275.6926801,0.546541992,0.246681253,90.0,,False,220.0,2.484281783,0.9,0.716,True,False,Residential,"10.525053,7.417963",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,918.9756004
3562,27/09/2024 11:00,False,,27/09/2024 11:00,34.20369055,269.1592423,0.0,0.313971063,90.0,,False,220.0,0.0,0.9,0.717,False,False,Residential,"10.525053,7.417964",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,897.1974743
3563,27/09/2024 11:15,True,27/09/2024 11:15,,29.57216982,300.0,0.30401616,0.312967023,90.0,,False,220.0,1.381891635,0.9,0.718,False,False,Residential,"10.525053,7.417965",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,1006.80832
3564,27/09/2024 11:30,True,27/09/2024 11:30,,32.1342643,290.5719138,0.562258008,0.2450455,90.0,,False,220.0,2.55571822,0.9,0.719,True,False,Residential,"10.525053,7.417966",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,968.5730459
3565,27/09/2024 11:45,False,,27/09/2024 11:45,33.30469357,284.160856,0.0,0.316085714,90.0,,False,220.0,0.0,0.9,0.72,False,False,Residential,"10.525053,7.417967",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,947.2028533
3566,27/09/2024 12:00,True,27/09/2024 12:00,,31.46867542,276.9511302,0.306791753,0.308625558,90.0,,False,220.0,1.394507967,0.9,0.721,False,False,Residential,"10.525053,7.417968",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,923.170434
3567,27/09/2024 12:15,True,27/09/2024 12:15,,29.13745989,282.6790415,0.573548527,0.235908187,90.0,,False,220.0,2.607038761,0.9,0.722,True,False,Residential,"10.525053,7.417969",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,942.2634717
3568,27/09/2024 12:30,False,,27/09/2024 12:30,33.56381162,261.2738515,0.0,0.301226649,90.0,,False,220.0,0.0,0.9,0.723,False,False,Residential,"10.525053,7.417970",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,870.9128384
3569,27/09/2024 12:45,True,27/09/2024 12:45,,30.94535845,300.0,0.38414399,0.280190652,90.0,,False,220.0,1.746109046,0.9,0.724,True,False,Residential,"10.525053,7.417971",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,1004.413906
3570,27/09/2024 13:00,False,,27/09/2024 13:00,30.48344835,284.7538975,0.0,0.351379126,90.0,,False,220.0,0.0,0.9,0.725,False,False,Residential,"10.525053,7.417972",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,949.1796584
3571,27/09/2024 13:15,True,27/09/2024 13:15,,29.78049942,261.2288066,0.288321957,0.344605839,90.0,,False,220.0,1.310554351,0.9,0.726,False,False,Residential,"10.525053,7.417973",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,870.7626885
3572,27/09/2024 13:30,True,27/09/2024 13:30,,33.51665886,258.7265897,0.32808567,0.327266069,90.0,,False,220.0,1.4912985,0.9,0.727,False,False,Residential,"10.525053,7.417974",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,862.4219655
3573,27/09/2024 13:45,True,27/09/2024 13:45,,32.15364987,227.9365142,0.232564652,0.326109034,90.0,,False,220.0,1.057112056,0.9,0.728,False,False,Residential,"10.525053,7.417975",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,759.7883805
3574,27/09/2024 14:00,True,27/09/2024 14:00,,31.38695839,261.499421,0.219915021,0.336505134,90.0,,False,220.0,0.999613732,0.9,0.729,False,False,Residential,"10.525053,7.417976",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,871.6647367
3575,27/09/2024 14:15,True,27/09/2024 14:15,,32.85896705,231.117602,0.498472094,0.269666511,90.0,,False,220.0,2.265782245,0.9,0.73,True,False,Residential,"10.525053,7.417977",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,770.3920068
3576,27/09/2024 14:30,False,,27/09/2024 14:30,30.74136831,233.8047588,0.0,0.328117701,90.0,,False,220.0,0.0,0.9,0.731,False,False,Residential,"10.525053,7.417978",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,779.3491961
3577,27/09/2024 14:45,True,27/09/2024 14:45,,29.0069157,185.6440643,0.210766931,0.321836984,90.0,,False,220.0,0.958031507,0.9,0.732,False,False,Residential,"10.525053,7.417979",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,618.8135477
3578,27/09/2024 15:00,True,27/09/2024 15:00,,29.81534374,178.8670473,0.259144984,0.3017675,90.0,,False,220.0,1.177931747,0.9,0.733,False,False,Residential,"10.525053,7.417980",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,596.223491
3579,27/09/2024 15:15,True,27/09/2024 15:15,,32.25448219,167.9447289,0.239427643,0.283896771,90.0,,False,220.0,1.08830747,0.9,0.734,True,False,Residential,"10.525053,7.417981",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,559.8157631
3580,27/09/2024 15:30,False,,27/09/2024 15:30,33.33724754,161.4189189,0.0,0.324251501,90.0,,False,220.0,0.0,0.9,0.735,False,False,Residential,"10.525053,7.417982",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,538.0630629
3581,27/09/2024 15:45,True,27/09/2024 15:45,,34.15152854,157.0320758,0.2433306,0.30267687,90.0,,False,220.0,1.106048182,0.9,0.736,False,False,Residential,"10.525053,7.417983",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,523.4402528
3582,27/09/2024 16:00,True,27/09/2024 16:00,,29.00233437,172.4640118,0.462255076,0.230229104,90.0,,False,220.0,2.101159437,0.9,0.737,True,False,Residential,"10.525053,7.417984",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,574.8800393
3583,27/09/2024 16:15,False,,27/09/2024 16:15,32.96842347,140.910638,0.0,0.265456763,90.0,,False,220.0,0.0,0.9,0.738,True,False,Residential,"10.525053,7.417985",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,469.7021267
3584,27/09/2024 16:30,False,,27/09/2024 16:30,31.5437286,104.8264419,0.0,0.291663374,90.0,,False,220.0,0.0,0.9,0.739,True,False,Residential,"10.525053,7.417986",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,349.421473
3585,27/09/2024 16:45,False,,27/09/2024 16:45,33.26628085,75.01817399,0.0,0.310417917,90.0,,False,220.0,0.0,0.9,0.74,False,False,Residential,"10.525053,7.417987",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,250.06058
3586,27/09/2024 17:00,True,27/09/2024 17:00,,34.35691261,82.74197983,0.473068834,0.212836204,90.0,,False,220.0,2.150312883,0.9,0.741,True,False,Residential,"10.525053,7.417988",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,275.8065994
3587,27/09/2024 17:15,False,,27/09/2024 17:15,29.56524539,61.4974817,0.0,0.228210574,90.0,,False,220.0,0.0,0.9,0.742,True,False,Residential,"10.525053,7.417989",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,204.9916057
3588,27/09/2024 17:30,False,,27/09/2024 17:30,31.64864235,23.5162055,0.0,0.234089625,90.0,,False,220.0,0.0,0.9,0.743,True,False,Residential,"10.525053,7.417990",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,78.38735168
3589,27/09/2024 17:45,False,,27/09/2024 17:45,31.46834617,27.98578405,0.0,0.241086071,90.0,,False,220.0,0.0,0.9,0.744,True,False,Residential,"10.525053,7.417991",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,93.28594683
3590,27/09/2024 18:00,False,,27/09/2024 18:00,33.91360879,31.93456284,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.745,True,False,Residential,"10.525053,7.417992",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,106.4485428
3591,27/09/2024 18:15,False,,27/09/2024 18:15,30.85679363,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.746,True,False,Residential,"10.525053,7.417993",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3592,27/09/2024 18:30,False,,27/09/2024 18:30,34.23832926,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.747,True,False,Residential,"10.525053,7.417994",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3593,27/09/2024 18:45,False,,27/09/2024 18:45,31.72100399,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.748,True,False,Residential,"10.525053,7.417995",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3594,27/09/2024 19:00,False,,27/09/2024 19:00,32.11247295,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.749,True,False,Residential,"10.525053,7.417996",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3595,27/09/2024 19:15,False,,27/09/2024 19:15,29.48449022,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.75,True,False,Residential,"10.525053,7.417997",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3596,27/09/2024 19:30,False,,27/09/2024 19:30,29.67571255,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.751,True,False,Residential,"10.525053,7.417998",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3597,27/09/2024 19:45,False,,27/09/2024 19:45,31.13890285,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.752,True,False,Residential,"10.525053,7.417999",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3598,27/09/2024 20:00,False,,27/09/2024 20:00,33.68603,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.753,True,False,Residential,"10.525053,7.418000",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3599,27/09/2024 20:15,False,,27/09/2024 20:15,34.6239055,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.754,True,False,Residential,"10.525053,7.418001",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3600,27/09/2024 20:30,False,,27/09/2024 20:30,33.1435294,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.755,True,False,Residential,"10.525053,7.418002",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3601,27/09/2024 20:45,False,,27/09/2024 20:45,29.53944602,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.756,True,False,Residential,"10.525053,7.418003",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3602,27/09/2024 21:00,False,,27/09/2024 21:00,30.41284216,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.757,True,False,Residential,"10.525053,7.418004",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3603,27/09/2024 21:15,False,,27/09/2024 21:15,34.60388373,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.758,True,False,Residential,"10.525053,7.418005",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3604,27/09/2024 21:30,False,,27/09/2024 21:30,33.7498481,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.759,True,False,Residential,"10.525053,7.418006",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3605,27/09/2024 21:45,False,,27/09/2024 21:45,34.14520248,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.76,True,False,Residential,"10.525053,7.418007",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3606,27/09/2024 22:00,False,,27/09/2024 22:00,30.86220006,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.761,True,False,Residential,"10.525053,7.418008",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3607,27/09/2024 22:15,False,,27/09/2024 22:15,32.17890982,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.762,True,False,Residential,"10.525053,7.418009",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3608,27/09/2024 22:30,False,,27/09/2024 22:30,34.50736121,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.763,True,False,Residential,"10.525053,7.418010",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3609,27/09/2024 22:45,False,,27/09/2024 22:45,29.26003407,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.764,True,False,Residential,"10.525053,7.418011",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3610,27/09/2024 23:00,False,,27/09/2024 23:00,31.60701838,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.765,True,False,Residential,"10.525053,7.418012",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3611,27/09/2024 23:15,False,,27/09/2024 23:15,34.41752863,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.766,True,False,Residential,"10.525053,7.418013",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3612,27/09/2024 23:30,False,,27/09/2024 23:30,30.96724254,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.767,True,False,Residential,"10.525053,7.418014",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3613,27/09/2024 23:45,False,,27/09/2024 23:45,34.1422673,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.768,True,False,Residential,"10.525053,7.418015",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3614,28/09/2024 00:00,False,,28/09/2024 00:00,32.76336566,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.769,True,False,Residential,"10.525053,7.418016",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3615,28/09/2024 00:15,False,,28/09/2024 00:15,29.88196399,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.77,True,False,Residential,"10.525053,7.418017",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3616,28/09/2024 00:30,False,,28/09/2024 00:30,33.50550228,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.771,True,False,Residential,"10.525053,7.418018",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3617,28/09/2024 00:45,False,,28/09/2024 00:45,31.81402565,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.772,True,False,Residential,"10.525053,7.418019",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3618,28/09/2024 01:00,False,,28/09/2024 01:00,29.85090509,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.773,True,False,Residential,"10.525053,7.418020",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3619,28/09/2024 01:15,False,,28/09/2024 01:15,29.33163201,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.774,True,False,Residential,"10.525053,7.418021",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3620,28/09/2024 01:30,False,,28/09/2024 01:30,30.74883994,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.775,True,False,Residential,"10.525053,7.418022",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3621,28/09/2024 01:45,False,,28/09/2024 01:45,31.45605703,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.776,True,False,Residential,"10.525053,7.418023",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3622,28/09/2024 02:00,False,,28/09/2024 02:00,33.40644625,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.777,True,False,Residential,"10.525053,7.418024",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3623,28/09/2024 02:15,False,,28/09/2024 02:15,32.12898798,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.778,True,False,Residential,"10.525053,7.418025",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3624,28/09/2024 02:30,False,,28/09/2024 02:30,31.05119848,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.779,True,False,Residential,"10.525053,7.418026",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3625,28/09/2024 02:45,False,,28/09/2024 02:45,33.96229053,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.78,True,False,Residential,"10.525053,7.418027",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3626,28/09/2024 03:00,False,,28/09/2024 03:00,31.58441173,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.781,True,False,Residential,"10.525053,7.418028",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3627,28/09/2024 03:15,False,,28/09/2024 03:15,34.58439808,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.782,True,False,Residential,"10.525053,7.418029",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3628,28/09/2024 03:30,False,,28/09/2024 03:30,31.73182732,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.783,True,False,Residential,"10.525053,7.418030",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3629,28/09/2024 03:45,False,,28/09/2024 03:45,30.33261245,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.784,True,False,Residential,"10.525053,7.418031",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3630,28/09/2024 04:00,False,,28/09/2024 04:00,34.08854004,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.785,True,False,Residential,"10.525053,7.418032",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3631,28/09/2024 04:15,False,,28/09/2024 04:15,33.23406447,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.786,True,False,Residential,"10.525053,7.418033",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3632,28/09/2024 04:30,False,,28/09/2024 04:30,30.10550244,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.787,True,False,Residential,"10.525053,7.418034",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3633,28/09/2024 04:45,False,,28/09/2024 04:45,32.1811447,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.788,True,False,Residential,"10.525053,7.418035",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3634,28/09/2024 05:00,False,,28/09/2024 05:00,34.36232748,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.789,True,False,Residential,"10.525053,7.418036",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3635,28/09/2024 05:15,False,,28/09/2024 05:15,34.16684606,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.79,True,False,Residential,"10.525053,7.418037",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3636,28/09/2024 05:30,False,,28/09/2024 05:30,34.54494896,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.791,True,False,Residential,"10.525053,7.418038",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3637,28/09/2024 05:45,False,,28/09/2024 05:45,30.86734821,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.792,True,False,Residential,"10.525053,7.418039",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3638,28/09/2024 06:00,False,,28/09/2024 06:00,32.2401464,0.0,0.0,0.249069712,90.0,,False,220.0,0.0,0.9,0.793,True,False,Residential,"10.525053,7.418040",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3639,28/09/2024 06:15,False,,28/09/2024 06:15,31.1974323,51.49332982,0.0,0.261943045,90.0,,False,220.0,0.0,0.9,0.794,True,False,Residential,"10.525053,7.418041",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,171.6444327
3640,28/09/2024 06:30,False,,28/09/2024 06:30,32.97563214,36.59314071,0.0,0.27109133,90.0,,False,220.0,0.0,0.9,0.795,True,False,Residential,"10.525053,7.418042",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,121.9771357
